topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
TCEB1,GSN,NEAT1,MALAT1,ITM2B,SLC4A4,CEL,RPL37A
RAMP1,TFF1,PSMB1,B2M,LGALS3,ANXA4,HSP90B1,RPS20
CAPZA1,COX7B,MRPL23,RPL10,PRDX1,CFTR,EIF3E,COX7C
PPP1R15A,SHFM1,NPDC1,RPLP2,CALM1,SCTR,EIF3K,IGFBP7
MTUS1,ANXA5,PSMB7,RPS19,C14orf2,HES1,LUC7L3,MMP7
CAV1,PARK7,GTF2A2,RPS14,CALD1,GYPC,CYB5A,MYL12B
AREG,SNHG5,SEC11C,RPL28,ATP5J,SYPL1,EIF3H,ATP5G2
PPP1CB,CPA2,AGR3,RPS12,NDUFB4,FAM150B,PHGR1,COX5B
YPEL5,MGST3,U2SURP,RPL11,PLVAP,ABCC3,PSMB3,HINT1
TMEM30A,VAMP8,RAB11B,RPS6,FN1,SORBS2,SNU13,SPARC
SDHB,AGR2,ENG,RPS29,S100A13,EIF4H,SF3B6,CHCHD2
ORMDL1,IGFBP4,RWDD1,SPINK1,NDUFB2,C17orf89,SRSF3,SPARCL1
MCRIP1,CNBP,SNRPN,RPS23,ZFP36L1,NUCB2,IGFBP2,DDX5
CCND3,RBX1,MGST1,RPL27A,SON,PTPRK,GSTK1,UBL5
BCLAF1,SRSF5,CWC15,RPL19,HNRNPK,MAP1LC3A,MRPL33,UQCRH
PLAC9,NDUFB7,ANKRD11,RPL37,SARAF,ST13,VDAC1,DYNLL1
UBE2K,PPA1,ACTB,RPL23A,YWHAE,NSA2,SEC11A,CYSTM1
SEC31A,SERP1,ARPP19,RPL31,AMBP,DMKN,NDUFA12,RPL22
FKBP5,COX5A,AAK1,RPS24,SPATS2L,MTPN,EIF3F,EPCAM
PRCP,SNRPE,CLDN18,CD74,SPCS2,SLC40A1,SSBP1,NPC2
PPP2R5C,CD164,MVP,RPS3,HERPUD1,PLP2,DYNLT1,HLA-DPB1
PODXL,TMEM50A,AP2B1,CTRB1,HSPA8,SPAG7,TYROBP,GLTSCR2
TM2D3,ZNHIT1,ITM2A,RPS25,P4HB,TMEM248,PDIA6,DSTN
HLA-DRB5,CTSH,SREK1,RPL12,CD151,CASP4,PNISR,PRDX5
RBPJ,SLC9A3R2,POLR2G,RPL30,SPINT2,HEBP1,NAA38,NDUFB1
LAMB2,HSPD1,PGLS,RPS9,IFI6,RNMT,RAB7A,ATP6V0E1
ECHDC2,DEK,CLEC2B,RPL38,SRI,MLEC,TMEM123,HMGB1
LTBP3,TSPAN3,MMADHC,RPL14,HSBP1,DYNC1LI2,ATOX1,SEC62
JMJD1C,TYMP,UQCC2,RPL41,TM4SF4,ST14,CLTB,SRGN
BBIP1,UBXN4,SHISA5,CPB1,NPM1,BICC1,EMP1,PEBP1
CCNG1,TMEM230,SMIM19,S100A10,C3,KLF10,NDUFA6,TBCA
ESAM,PNLIPRP2,ASPH,RPL24,PSMA4,PSMC4,CAST,TMSB4X
COPS8,NCL,IP6K2,MYL6,NENF,NARS,SNRPD1,ISG15
TPR,CAPG,ILF3,RPS5,SYF2,CAPN1,TRAM1,APOC1
IL7R,ASAH1,ITGB4,HLA-B,WFDC2,MGLL,EIF4B,ARPC2
PSMD2,PRRC2C,CCT2,REG1A,DAZAP2,OAT,HNRNPM,RHOA
PFKL,RP11-528G1.2,NFKBIZ,S100A11,HN1,RNF114,ATP6AP2,SAP18
ASS1,SSB,TNIP1,RPL6,SEP15,PBX1,CAMTA1,LMNA
FIBP,MZT2A,ZMAT2,PNLIP,BCAP31,CHCHD5,TCF25,MINOS1
AK6,FAM96B,MTHFD2,RPLP0,UBE2B,GLIS3,TUBA1A,KRT7
STXBP3,ARF4,WBP2,CLU,HMGB2,HEG1,DDX24,APLP2
TMEM243,PPP1R1B,PCAT19,CTRC,VDAC2,TNS1,FLOT1,SEC61B
VCAN,DYNC1I2,SCD5,ANXA2,AP2S1,TXN2,BLVRB,TPM4
ARID5B,LMAN2,CCDC124,SAT1,SGK1,PCM1,ZFAND5,HMGN3
ETHE1,FLNA,PSMD13,CST3,MRPL52,RERE,DPY30,C19orf43
RNF10,COTL1,UBE2A,SRP14,SSU72,CARD16,KDELR1,FXYD5
CCNH,MORF4L2,C7orf50,CD63,YWHAQ,NRP1,ZC3H15,SLC25A3
TIMMDC1,TAPBP,ETFA,HSP90AA1,ATP5F1,DHX15,MLF2,GMNN
IL6ST,PSMB5,RALBP1,LGALS1,EIF5,MACF1,CARHSP1,NDUFC1
FAM49B,UBE2D2,APOLD1,VIM,COL18A1,DDX1,C1orf43,RAN
HBP1,ANP32B,GPRC5A,PFDN5,NDUFS8,ALG5,SERPINB6,ELF3
MS4A6A,COL4A1,STAT3,PPIA,CDC37,UBA1,MDH2,BSG
MECP2,RAP1B,PTPN12,RPL21,CTHRC1,CISD1,NONO,ATP5C1
PHF3,CA2,NDUFA10,KRT8,VIMP,ZRANB2,LMO7,SLIRP
CDC42SE2,BUD31,MAOA,KRT19,BRI3,SURF4,AFDN,SPRY1
IQGAP2,CSDE1,MRPS5,ATP1A1,PRDX3,PPP1R7,UGT2A3,CHMP2A
PHF20,CAP1,ADAM9,MYL12A,ESD,CPNE1,PSMD4,CD52
HSBP1L1,HEXB,CRIM1,EEF1D,ITGB1,DCTN2,DDOST,TPM2
GDF15,NDUFS7,PPP1R16A,CELA2A,PLA2G16,TRAPPC3,ETS2,MZT2B
ACAT1,PRKAR1A,CAT,RPSA,VPS29,EPN1,NAA20,FIS1
DAP3,SIVA1,MPC2,LUM,COMT,CMTM7,PICALM,CAPZB
PIGP,VAMP5,ERBB2,COL1A2,TRA2B,ABLIM1,PSMG2,NDUFA2
PSMD3,SFT2D1,PMP22,TCEB2,POLR2F,DHX9,ERO1A,PDLIM1
ETNK1,NDUFAB1,PPP1R10,NDUFA4,PAPOLA,ERGIC1,SMS,CD44
MFSD1,HLA-DQA1,NCOA4,COL3A1,LSM5,KLF4,HADHB,ATP6V1G1
PUM2,SNRPB2,WNK2,COX6B1,PCBD1,SAP30BP,DGUOK,SCP2
C1orf35,CFDP1,FAM120A,HLA-DRB1,XBP1,CPNE3,ATF3,ZNF706
AP2A2,TSPAN13,TUSC3,COX6C,CAPNS1,KIFC3,CMPK1,AHNAK
COA6,NDUFS4,CTDSP1,YBX1,ACTR3,PTK2,SUCLG1,GRN
FYB,ANXA3,BRD4,RAC1,METTL7A,SNAP23,C7,CEBPD
PKN1,DZIP1,BCAS2,TPM1,NDRG1,PHGDH,TNFRSF1A,GP2
NCSTN,IQGAP1,PIGT,USMG5,POLR1D,CCDC59,SNRPC,CLTA
PTPRA,UQCRC2,TUBA1C,TOMM7,HSD17B11,CLDND1,TRAC,SF1
UCP2,ALOX5AP,BNIP3L,EEF2,PSMD8,HNRNPR,PLD3,ATP5A1
ZFAND1,PSMC3,BNIP2,RPL36AL,RBMX,LAP3,UBE2E3,ERP29
ATF6B,SCAF11,BTG3,ATP5I,NDUFB3,VPS4B,DSG2,EPAS1
GLUD1,FAAP20,NDFIP2,CYBA,ACP1,COA1,TKT,TMCO1
SNRPA,NFE2L2,XAF1,PSAP,PNLIPRP1,PJA2,PLEC,OSTC
SAMHD1,PRDX4,AZGP1,GAS5,TCEA1,MTSS1,CNIH1,SUMO1
MYADM,TMC5,EBAG9,HNRNPA2B1,SNRNP70,XPO1,SLC3A2,IFI16
MCRIP2,MBNL1,TATDN1,GNAS,METAP2,JAG1,PLPP3,RDX
MKRN1,PPCS,PRPF40A,TXN,SDC4,HOMER2,TCEA3,PSMA1
CREG1,NDUFB6,PACSIN2,COX7A2,CCT8,NR1H2,HP1BP3,TMEM219
PLOD2,LAMTOR4,LBH,LDHA,NQO1,GSPT1,LINC01578,PLSCR1
LYPLAL1,MEIS1,WNK1,RPS27L,MTCH1,EIF4A3,CHD9,FCGRT
PHF5A,ZNF428,ANAPC5,CD59,SDHC,LASP1,MTIF3,SPTBN1
PARP8,TERF2IP,PROX1,EEF1B2,NDUFB5,SAFB2,RCAN1,COX20
LY96,WASF2,VOPP1,CLIC1,NCOR1,SLC44A3,FDFT1,SRSF11
MBTPS1,MORF4L1,WLS,PABPC1,RAP1A,AIG1,CIR1,SERPINF1
HIBCH,PAIP2,TMED9,TMEM59,GMFG,FAM32A,RBM25,PFDN2
USP22,ANKRD10,NIPBL,SOD1,CCT6A,ERICH5,IK,CCNL1
STIP1,JUP,FNTA,TXNIP,MRPL18,FBXW11,EMC7,SNRPB
C9orf78,TTR,SMIM20,SKP1,TAF7,IMP4,ABHD2,ERGIC3
LSM10,NBPF9,SH3GLB1,BTF3,CTSC,PDGFD,PSMB2,C1S
GLYR1,C9orf3,ITPA,IFITM2,TSPAN1,SPG7,CHMP4B,PGC
STK17B,DSP,MX1,NDUFS5,PLPP2,FLYWCH2,AKAP9,CTSL
NR3C1,MEF2C,RRAS,NFKBIA,MSN,LLGL2,GOLGA4,RAB11A
CNOT4,MRPS36,NDUFV3,OLFM4,CCT3,ECHDC1,LMBRD1,NDUFA5
CYTH1,ARL6IP5,C6,LAPTM4A,RARRES3,ITGA3,WDR45B,TGFBR2
EML4,CCT4,ATP6V0D1,DCN,WHSC1L1,DDB1,LSM2,HLA-DMA
FAM102A,DARS,ANP32E,COMMD6,SERINC1,NRBP1,CCDC47,LAPTM5
EVL,CLDN1,PLEKHA1,NDUFA1,CD55,KIF5B,NCKAP1,PRSS3
UBE3A,EBPL,NOSTRIN,RPL9,NSRP1,SUPT5H,RTFDC1,MTDH
YAP1,TMEM167A,STARD7,TSPAN8,AKAP7,FGFR2,PPT1,PSMB9
TNRC6B,RBPMS,RBM5,C12orf75,NDRG2,LPP,PSMC1,SQSTM1
TOP2B,TXNL1,SPON2,TSC22D3,EMC4,RAB5B,ATP6V1D,LAMTOR2
EFEMP1,HOOK2,INSIG2,ARPC3,UGP2,NBR1,ANPEP,SSR3
RABGAP1L,MPST,PXN,RPL7,SRRM2,G3BP1,PNN,MEAF6
DDX39A,DECR1,MECOM,ENO1,MAP3K13,HTATIP2,NUTF2,TALDO1
AKIRIN2,SLC9A3R1,ALG13,ACTA2,NR4A1,TSN,MAP4,CTSS
PAFAH1B2,SRSF4,NDUFAF2,PKM,MRPL14,FBXO21,HSPB11,COL6A3
SRGAP2,GPNMB,EPHA2,APOD,PPP1CC,ANXA7,AKR1A1,PNKD
TIAL1,POSTN,TMC4,ZFAS1,DNAJC8,GLOD4,PMEPA1,ATP1B3
TNFSF10,PSMA5,ANGPTL4,TMEM258,RRBP1,HIKESHI,PLPP1,PCNP
FYN,HNRNPH2,PHF11,SERPING1,ANP32A,ATF7IP2,PDLIM5,TAX1BP1
RALB,SSFA2,ANXA11,SOD3,CDC42EP1,EIF3J,ITGAV,CYB5R3
BCAP29,CSRP1,PLBD1,GLUL,TGOLN2,MUC13,YWHAG,UBE2I
EIF1AX,RBP7,NCOR2,SUB1,MRPL54,SYNE2,RAB6A,CDH1
CXCL13,LRRFIP1,TCF7L2,HSP90AB1,REXO2,YAF2,HDAC2,HIF1A
TNFAIP3,M6PR,FAM204A,RGCC,UPF2,GOLIM4,TMEM134,FAM162A
GAMT,AAMDC,MRPS35,PPIB,EIF4EBP1,GRSF1,ERICH1,QSOX1
USP34,MFF,LAMB1,APP,ATP6V1E1,MAPRE1,NASP,TIMP2
SAMSN1,CCT7,SLC38A10,CD9,NUCB1,OSTF1,DCTN6,CTSZ
UBE2D1,RSF1,SMARCB1,TMBIM6,UBALD2,PDHA1,MRPS18C,CNN3
SH3KBP1,PPP1R12A,RARRES1,PSMA7,MAP1LC3B,ANXA9,POLR2E,LAMP2
EPSTI1,TSG101,TOP1,ATPIF1,MANF,CCS,AZIN1,EPHX1
USP48,CRYZ,SP110,VMP1,CCDC80,COPG1,CLNS1A,BHLHE40
RNF145,TPM3,GORASP2,SNRPD2,NOSIP,CDC123,HAX1,CTTN
TFDP1,SUMO3,OARD1,ATP1B1,STAU1,LAMC1,APOL1,CELA2B
CASC3,DST,PSMD1,SEPW1,PRKCSH,CHD4,ITGB2,LSM4
WAC,VDAC3,TDG,CDC42,ZFAND6,SPTLC1,SET,PON2
GNS,CDV3,C1orf198,NDUFA3,PAIP1,ATXN10,KARS,PPP1CA
ARL8B,C1D,PEF1,ANXA1,FBLN1,PFN2,JAK1,ISG20
PPP6R3,HTRA1,NTPCR,SNX3,LARP7,CCDC90B,GANAB,EIF3M
