,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
DPM1,6.935448e-11,1.5458237e-10,1.11344066e-10,3.6165643e-11,1.3792653e-10,6.0718965e-11,1.5955234e-10,0.00078415213
SCYL3,5.5828036e-06,3.926983e-09,2.6269e-05,1.9516082e-07,3.0534124e-09,8.497673e-06,4.213697e-09,8.50883e-10
C1orf112,2.9954368e-05,4.378513e-08,3.05203e-05,1.8503721e-06,2.3714199e-08,2.1376514e-05,4.6153875e-08,3.4163676e-09
FGR,0.00014991475,2.3343003e-10,1.422535e-10,5.7986532e-11,2.0504674e-10,6.709897e-11,2.4162347e-10,1.3703393e-10
CFH,6.6670336e-11,1.5239175e-10,1.0749149e-10,3.5316347e-11,1.3620684e-10,5.6892747e-11,1.5703468e-10,0.000930128
GCLC,5.709016e-05,2.1599706e-06,0.00013331977,7.394751e-06,1.11092646e-07,1.8581804e-05,1.3834501e-05,1.2302711e-09
STPG1,5.3659555e-08,4.201601e-06,1.7698665e-05,3.578206e-07,2.8028444e-06,3.3955956e-05,2.918775e-06,1.784063e-08
NIPAL3,5.384844e-05,2.3817687e-08,3.6258996e-05,5.9448535e-06,1.4802481e-08,4.9167415e-05,2.077582e-08,2.0369113e-09
LAS1L,2.3302717e-05,2.5720199e-06,4.229905e-06,4.4117137e-06,2.0502193e-06,9.040611e-06,1.9320094e-06,4.53546e-06
SEMA3F,1.645999e-09,2.222653e-09,3.6063343e-06,2.0690342e-10,1.6554413e-09,1.8953888e-10,2.9472842e-09,2.6515207e-05
CFTR,8.542665e-11,2.3202779e-10,1.5195145e-10,5.0683655e-11,2.0838146e-10,0.012069482,2.3853033e-10,1.1279976e-10
ANKIB1,0.0001915463,1.5287394e-09,0.0015036672,7.501901e-10,1.3090824e-09,2.1748563e-05,1.5748078e-09,7.72626e-10
RAD52,6.9954534e-05,4.954736e-07,2.3332046e-05,3.4349255e-06,4.5639055e-08,8.971904e-05,1.3038233e-07,1.9835727e-05
LAP3,6.7572115e-11,1.4680523e-10,1.0159053e-10,3.453485e-11,1.3102808e-10,0.0004090817,1.5148671e-10,7.86267e-11
HS3ST1,4.9325705e-10,2.5477545e-09,0.00043299003,6.6919442e-06,2.818795e-09,1.1496553e-10,2.5983165e-09,1.5732736e-09
AOC1,4.490394e-10,1.1648706e-09,2.133688e-05,4.82932e-10,1.0596339e-09,2.119183e-10,1.2459371e-09,3.93255e-10
LASP1,7.353718e-07,3.4820732e-10,2.398616e-10,1.1405389e-10,3.0238007e-10,0.0006245847,3.616594e-10,1.8565248e-10
SNX11,2.6233525e-05,1.0768485e-09,1.471765e-09,2.9069767e-08,8.5307994e-10,4.8422055e-10,1.1577405e-09,3.7630085e-10
M6PR,7.168225e-11,0.0017920943,1.0770822e-10,3.6440326e-11,1.3756003e-10,5.921893e-11,1.588191e-10,8.183091e-11
KLHL13,4.3111686e-06,5.7881536e-08,3.944572e-09,4.8752904e-06,8.2009e-08,2.6245913e-05,3.535954e-08,2.1815411e-05
ICA1,2.544535e-05,9.624311e-10,0.00022221309,2.9858832e-10,7.879158e-10,0.00050522556,1.0517749e-09,6.9266604e-10
DBNDD1,3.6288172e-10,1.2075714e-09,4.3964715e-08,3.171395e-10,1.0426786e-09,1.0788561e-05,1.2089726e-09,3.2772254e-10
ALS2,1.800059e-05,8.014389e-06,9.1216854e-05,1.0860985e-06,9.87893e-06,9.968586e-05,5.6543145e-06,2.3773313e-05
CASP10,2.4421177e-05,1.085957e-09,0.00044804794,3.224374e-10,9.030811e-10,4.6089343e-10,1.119931e-09,7.4040435e-10
CFLAR,2.761238e-10,4.0031967e-10,2.9400343e-10,0.0007208756,3.489626e-10,4.9702514e-10,4.1621182e-10,1.9960009e-10
NDUFAF7,2.5360945e-05,2.1007052e-08,1.7629227e-05,2.9079697e-06,9.960707e-09,8.002589e-06,3.9707068e-08,1.2650993e-07
RBM5,2.2051277e-10,2.9083214e-10,0.0013355578,7.56932e-11,2.5514196e-10,1.3634487e-10,3.0014202e-10,1.547352e-10
SLC7A2,3.7395975e-10,2.621584e-09,5.489335e-10,9.548306e-06,2.1579623e-09,2.1108639e-05,2.8128548e-09,6.0926228e-05
SARM1,1.1145994e-05,7.049659e-09,2.8186527e-05,1.677106e-06,4.999491e-09,2.6990305e-05,7.69927e-09,1.5201647e-09
POLDIP2,2.8108841e-05,8.29269e-06,2.5148303e-05,5.8488476e-06,1.4661784e-05,3.7072477e-05,9.253811e-06,2.0117643e-05
AK2,6.0864716e-11,1.3859795e-10,9.635879e-11,3.2209548e-11,0.001102408,5.307672e-11,1.4260912e-10,7.378016e-11
CD38,8.503213e-05,3.3173428e-10,1.8962314e-10,1.4644054e-10,2.8159508e-10,8.01067e-11,3.4270886e-10,1.641546e-10
RBM6,0.0006744826,1.0400707e-09,9.202695e-10,3.1441535e-10,0.0043908176,0.00023681748,1.1077558e-09,5.286962e-10
