,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
DPM1,6.211503e-11,3.4314773e-10,3.4035205e-10,4.245415e-10,8.363406e-10,1.5070284e-10,3.040544e-10,3.5966924e-10,4.4008214e-10,8.2734614e-10,0.003591754,3.4446057e-10,5.7083612e-11,3.277275e-10,1.4699857e-10,6.2938416e-10
SCYL3,6.211503e-11,3.4315495e-10,3.4951883e-10,4.2454232e-10,8.7560187e-10,1.5072238e-10,3.0408454e-10,3.5967473e-10,5.135463e-10,8.930981e-10,2.630122e-10,3.4446976e-10,5.708405e-11,3.4731784e-10,1.4699912e-10,6.533746e-10
C1orf112,6.211503e-11,3.4315364e-10,3.5888256e-10,4.2454879e-10,9.125977e-10,1.5071203e-10,3.0408165e-10,3.597838e-10,4.5610116e-10,9.188558e-10,2.6300967e-10,3.4479117e-10,5.710082e-11,3.3830747e-10,1.4699912e-10,6.5377354e-10
FGR,6.211503e-11,3.4315104e-10,0.00070893776,4.2458687e-10,8.36347e-10,1.5070686e-10,3.0408454e-10,3.5966788e-10,4.4008297e-10,8.273777e-10,2.6301017e-10,3.4446124e-10,5.7083612e-11,3.2772626e-10,1.4699912e-10,6.2938416e-10
CFH,6.211503e-11,3.4314643e-10,3.4035205e-10,4.2454634e-10,8.363533e-10,0.0021259687,3.040538e-10,3.5966788e-10,4.4008297e-10,8.273478e-10,2.6301017e-10,3.4446124e-10,5.7083612e-11,3.2776754e-10,1.4699857e-10,6.293746e-10
GCLC,6.211503e-11,3.431497e-10,0.0006103152,4.2454232e-10,8.363996e-10,1.5071433e-10,3.0405323e-10,3.5966788e-10,5.5309113e-10,8.2731305e-10,2.6300867e-10,3.4446057e-10,5.7083612e-11,3.3196276e-10,1.4699912e-10,6.2938177e-10
STPG1,6.211503e-11,3.4797693e-10,3.4035333e-10,4.3311138e-10,9.2372865e-10,1.5069537e-10,3.0412978e-10,3.639325e-10,4.736175e-10,8.772334e-10,2.630147e-10,3.4617964e-10,5.7083834e-11,4.4858225e-10,1.4699912e-10,7.0695033e-10
NIPAL3,6.214322e-11,3.4593803e-10,5.7517313e-10,4.251768e-10,2.796864e-09,1.5069278e-10,3.105443e-10,3.7593786e-10,4.939641e-10,1.6774553e-09,2.6302271e-10,3.662919e-10,5.711792e-11,6.3576916e-10,1.4700081e-10,1.0232918e-09
LAS1L,6.211503e-11,3.4314904e-10,3.4035205e-10,4.2454554e-10,8.364427e-10,1.5071003e-10,3.0405553e-10,3.5966788e-10,4.4008297e-10,8.273446e-10,2.6300767e-10,3.4445924e-10,5.7083612e-11,3.2774877e-10,1.4699857e-10,0.0020712547
SEMA3F,6.211503e-11,3.431497e-10,3.4035205e-10,9.878268e-10,8.36347e-10,1.5070974e-10,3.0408107e-10,3.5966788e-10,4.5531887e-10,8.273746e-10,2.6301067e-10,3.4446188e-10,5.7083727e-11,3.2771566e-10,1.4699912e-10,6.2938654e-10
